"","Specimen.Code","Common.Name","Latin.Name","City","Province","Country","Latitude","Longitude","Matrix.PCR.Result","Matrix.PCR.Result.Date","PCRResultDate","week","weekNum"
"299","CWHC.138577.1","Canada Goose","Branta canadensis","Ottawa","Ontario","Canada",45.393302,-75.701534,"Negative ","2018-01-16",2018-01-16,2,24
"300","CWHC.136638.1","Northern Flicker","Colaptes auratus","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-10-05",2017-10-05,4,9
"301","CWHC.136182.1","California Gull","Larus californicus","Morinville","Alberta","Canada",53.7925,-113.6463,"Negative ","2017-08-17",2017-08-17,4,2
"302","CWHC.135726.1","Merlin","Falco columbarius","Laval","Québec","Canada",45.58722222,-73.66888889,"Negative ","2017-08-10",2017-08-10,4,1
"304","CWHC.136429.1","Cedar Waxwing","Bombycilla cedrorum","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-09-14",2017-09-14,4,6
"306","CWHC.136170.1","Blue Jay","Cyanocitta cristata","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-08-17",2017-08-17,4,2
"307","CWHC.136459.1","American Crow","Corvus brachyrhynchos","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-09-14",2017-09-14,4,6
"309","CWHC.136440.1","Ring-Billed Gull","Larus delawarensis","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-09-14",2017-09-14,4,6
"310","CWHC.136333.1","Double-Crested Cormorant","Phalacrocorax auritus","Val-Comeau","Nouveau-Brunswick","Canada",47.46415,-64.88524,"Negative ","2017-09-28",2017-09-28,4,8
"311","CWHC.136079.1","American Coot","Fulica americana","","Saskatchewan","Canada",51.70114,-106.514567,"Negative ","2017-09-07",2017-09-07,4,5
"312","CWHC.136452.1","American Crow","Corvus brachyrhynchos","Morinville","Alberta","Canada",53.7925,-113.6463,"Negative ","2017-09-14",2017-09-14,4,6
"313","CWHC.137681.1","Red-Tailed Hawk","Buteo jamaicensis","Kensington","Prince Edward Island","Canada",46.42871,-63.62065,"Negative ","2018-01-10",2018-01-10,3,23
"314","CWHC.136779.1","Wild Turkey","Meleagris gallopavo","Sainte-Sophie","Québec","Canada",45.815038,-73.928159,"Negative ","2017-10-25",2017-10-25,3,12
"315","CWHC.136670.1","Canada Goose","Branta canadensis","Saint-Côme","Québec","Canada",46.4582,-74.04948,"Negative ","2017-10-17",2017-10-17,2,11
"316","CWHC.135970.1","Sharp-Shinned Hawk","Accipiter striatus","Saskatoon","Saskatchewan","Canada",52.1332144,-106.6700458,"Negative ","2017-11-09",2017-11-09,4,14
"317","CWHC.135725.1","Ring-Billed Gull","Larus delawarensis","Saskatoon","Saskatchewan","Canada",52.1332144,-106.6700458,"Negative ","2017-08-18",2017-08-18,5,2
"318","CWHC.135673.1","Great Blue Heron","Ardea herodias","Québec","Québec","Canada",46.88527778,-71.18111111,"Negative ","2017-08-10",2017-08-10,4,1
"319","CWHC.137815.1","Wild Turkey","Meleagris gallopavo","Jarvis","Ontario","Canada",42.920648,-80.123069,"Negative ","2017-12-08",2017-12-08,5,18
"320","CWHC.136336.1","Rock Pigeon","Columba livia","Charlottetown","Prince Edward Island","Canada",46.22738,-63.14019,"Negative ","2017-09-28",2017-09-28,4,8
"321","CWHC.136516.1","Canada Goose","Branta canadensis","Lambton","Québec","Canada",45.89861111,-71.10388889,"Negative ","2017-10-05",2017-10-05,4,9
"322","CWHC.138167.1","Mallard","Anas platyrhynchos","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-12-12",2017-12-12,2,19
"323","CWHC.138173.1","Canada Goose","Branta canadensis","Leduc","Alberta","Canada",53.258,-113.5502,"Negative ","2017-12-12",2017-12-12,2,19
"324","CWHC.136624.1","American Crow","Corvus brachyrhynchos","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-10-05",2017-10-05,4,9
"325","CWHC.138581.1","Mallard","Anas platyrhynchos","Bellevue","Alberta","Canada",49.5829,-114.3643,"Negative ","2018-01-17",2018-01-17,3,24
"326","CWHC.138206.1","Northern Gannet","Morus bassanus","Baie Verte","New Brunswick","Canada",46.02725,-64.10045,"Negative ","2018-01-10",2018-01-10,3,23
"327","CWHC.138176.1","Rock Pigeon","Columba livia","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-12-12",2017-12-12,2,19
"328","CWHC.136791.1","Bald Eagle","Haliaeetus leucocephalus","Edmundston","New Brunswick","Canada",47.49721,-68.19346,"Negative ","2018-01-10",2018-01-10,3,23
"329","CWHC.138581.3","Mallard","Anas platyrhynchos","Bellevue","Alberta","Canada",49.5829,-114.3643,"Negative ","2018-01-17",2018-01-17,3,24
"330","CWHC.136998.2","Long-Tailed Duck","Clangula hyemalis","Toronto","Ontario","Canada",43.662648,-79.3100073,"Negative ","2017-11-14",2017-11-14,2,15
"331","CWHC.136740.1","Trumpeter Swan","Cygnus buccinator","Cambridge","Ontario","Canada",43.3401,-80.278,"Negative ","2017-11-14",2017-11-14,2,15
"332","CWHC.136425.1","American Robin","Turdus migratorius","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-09-14",2017-09-14,4,6
"333","CWHC.137325.1","Double-Crested Cormorant","Phalacrocorax auritus","Montréal","Québec","Canada",45.498818,-73.5974,"Negative ","2017-11-28",2017-11-28,2,17
"334","CWHC.138164.1","Mallard","Anas platyrhynchos","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-12-12",2017-12-12,2,19
"335","CWHC.136092.1","American Coot","Fulica americana","","Saskatchewan","Canada",51.701373,-106.51696,"Negative ","2017-09-07",2017-09-07,4,5
"336","CWHC.135754.1","Great Black-Backed Gull","Larus marinus","Covehead","Prince Edward Island","Canada",46.42923,-63.14393,"Negative ","2017-09-28",2017-09-28,4,8
"337","CWHC.135935.1","Sharp-Shinned Hawk","Accipiter striatus","Langham","Saskatchewan","Canada",52.3589781,-106.9583581,"Negative ","2017-08-31",2017-08-31,4,4
"338","CWHC.136747.1","American Wigeon","Anas americana","Sackville","New Brunswick","Canada",45.9086,-64.3006,"Negative ","2018-01-11",2018-01-11,4,23
"339","CWHC.136619.1","American Crow","Corvus brachyrhynchos","Red Deer","Alberta","Canada",52.2681,-113.8112,"Negative ","2017-10-03",2017-10-03,2,9
"340","CWHC.138159.1","Common Raven","Corvus corax","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-12-12",2017-12-12,2,19
"341","CWHC.136729.1","Rock Pigeon","Columba livia","Charlottetown","Prince Edward Island","Canada",46.2366544,-63.1281866,"Negative ","2017-10-31",2017-10-31,2,13
"342","CWHC.135708.1","Common Raven","Corvus corax","Fairview","Prince Edward Island","Canada",46.1765023,-63.2160496,"Negative ","2017-09-28",2017-09-28,4,8
"343","CWHC.135636.7","Ring-Billed Gull","Larus delawarensis","Sorel","Québec","Canada",46.04833333,-73.11277778,"Negative ","2017-08-09",2017-08-09,3,1
