Specimen Code,Common Name,Latin Name,City,Province,Country,Latitude,Longitude,Matrix PCR Result,Matrix PCR Sample Type,Matrix PCR Lab,Matrix PCR Result Date,H5 PCR Result,H5 PCR Sample Type,H5 PCR Lab,H5 PCR Result Date,H7 PCR Result,H7 PCR Sample Source,H7 Testing Lab,H7 PCR Result Date
CWHC.136265.1,Canada Goose,Branta canadensis,Toronto,Ontario,Canada,43.753005,-79.360058,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-08-31,,,,,,,,
CWHC.136998.4,Long-Tailed Duck,Clangula hyemalis,Toronto,Ontario,Canada,43.662648,-79.3100073,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-11-14,,,,,,,,
CWHC.136422.1,American Robin,Turdus migratorius,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.136468.1,Great Gray Owl,Strix nebulosa,Barrhead,Alberta,Canada,54.1231,-114.4017,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-19,,,,,,,,
CWHC.136188.1,Ring-Billed Gull,Larus delawarensis,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.138515.1,Mallard,Anas platyrhynchos,Calgary,Alberta,Canada,51.043,-113.9178,,,,,,,,,,,,
CWHC.135904.1,Great Black-Backed Gull,Larus marinus,Covehead,Prince Edward Island,Canada,46.42429101,-63.15998213,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2017-09-28,,,,,,,,
CWHC.138803.1,Bald Eagle,Haliaeetus leucocephalus,Boylston,Nova Scotia,Canada,45.492697,-61.537802,Pending ,Combination Sample ,AVC - Diagnostic Virology Laboratory,,,,,,,,,
CWHC.136456.1,American Crow,Corvus brachyrhynchos,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.136400.1,Ruffed Grouse,Bonasa umbellus,Miltonvale Park,Prince Edward Island,Canada,46.32377,-63.19235,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2017-10-31,,,,,,,,
CWHC.136656.1,Boreal Owl,Aegolius funereus,Cadomin,Alberta,Canada,53.0325,-117.3265,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.136998.1,Long-Tailed Duck,Clangula hyemalis,Toronto,Ontario,Canada,43.662648,-79.3100073,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-11-14,,,,,,,,
CWHC.136068.1,Blue-Winged Teal,Anas discors,,Saskatchewan,Canada,51.701373,-106.51696,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-09-07,,,,,,,,
CWHC.135870.1,American Crow,Corvus brachyrhynchos,Saskatoon,Saskatchewan,Canada,52.09619,-106.609097,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-21,,,,,,,,
CWHC.136004.5,Herring Gull,Larus argentatus,Lac-Etchemin,Québec,Canada,46.39555556,-70.50833333,Suspicious ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-08-30,Negative,Combination Sample,Laboratoire d'épidémiosurveillance animale du Québec,2017-08-29,Negative,Combination Sample,Laboratoire d'épidémiosurveillance animale du Québec,2017-08-29
CWHC.138429.1,Snowy Owl,Bubo scandiacus,Crediton,Ontario,Canada,43.295894,-81.59826,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2018-01-15,,,,,,,,
CWHC.135729.1,Red-Tailed Hawk,Buteo jamaicensis,Saskatoon,Saskatchewan,Canada,52.148613,-106.5905669,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-18,,,,,,,,
CWHC.135686.1,Ring-Billed Gull,Larus delawarensis,Waskesiu Lake,Saskatchewan,Canada,53.9231821,-106.0818084,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-18,,,,,,,,
CWHC.137449.1,Common Loon,Gavia immer,Saguenay-Lac-Saint-Jean,Québec,Canada,48.34361111,-70.87444444,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-11-30,,,,,,,,
CWHC.136449.1,Black-billed Magpie,Pica hudsonia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.136539.1,Rock Pigeon,Columba livia,,Newfoundland And Labrador,Canada,0,0,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-10,,,,,,,,
CWHC.136748.3,American Wigeon,Anas americana,Sackville,New Brunswick,Canada,45.9086,-64.3006,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-11,,,,,,,,
CWHC.136770.1,Swainson's Thrush,Catharus ustulatus,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-19,,,,,,,,
CWHC.138140.1,Double-Crested Cormorant,Phalacrocorax auritus,Burlington,Ontario,Canada,43.32142,-79.798897,Negative ,Combination Sample ,Canadian Food Inspection Agency - Nepean ,2017-11-28,,,,,,,,
CWHC.135940.1,American Crow,Corvus brachyrhynchos,Minesing,Ontario,Canada,44.448273,-79.760589,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-08-23,,,,,,,,
CWHC.136538.1,Rock Pigeon,Columba livia,Charlottetown,Prince Edward Island,Canada,46.23283,-63.1293,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-10,,,,,,,,
CWHC.135671.1,Canada Goose,Branta canadensis,Sainte-Béatrix,Québec,Canada,46.167275,-73.62367778,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-08-10,,,,,,,,
CWHC.137680.5,Canada Goose,Branta canadensis,Ottawa,Ontario,Canada,45.393302,-75.701534,Negative ,Combination Sample ,CWHC Ontario/Nunavut ,2017-11-23,,,,,,,,
CWHC.136458.1,American Crow,Corvus brachyrhynchos,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.136329.1,Ross's Goose,Chen rossii,Saskatoon,Saskatchewan,Canada,52.1401751,-106.7058091,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-11-09,,,,,,,,
CWHC.136444.1,Black-billed Magpie,Pica hudsonia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.136664.1,Red-Tailed Hawk,Buteo jamaicensis,Nanton,Alberta,Canada,50.3128,-113.926,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-13,,,,,,,,
CWHC.136296.3,Mallard,Anas platyrhynchos,Peterborough,Ontario,Canada,44.331715,-78.331127,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-09-22,,,,,,,,
CWHC.138355.1,Rough-Legged Hawk,Buteo lagopus,Cambridge Bay,Nunavut,Canada,69.07,-104.58,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2018-01-15,,,,,,,,
CWHC.138581.4,Green-Winged Teal,Anas carolinensis,Bellevue,Alberta,Canada,49.5829,-114.3643,Positive ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2018-01-17,Negative,Combination Sample,Alberta Agri-Food Laboratories Branch,2018-01-17,Negative,Combination Sample,Alberta Agri-Food Laboratories Branch,2018-01-17
CWHC.136370.1,Least Sandpiper,Calidris minutilla,Mount Stewart,Prince Edward Island,Canada,46.36431,-62.86478,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2017-10-31,,,,,,,,
CWHC.136749.1,Mallard,Anas platyrhynchos,Bathurst,New Brunswick,Canada,47.6206,-65.64,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-11,,,,,,,,
CWHC.136177.1,Double-Crested Cormorant,Phalacrocorax auritus,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.136414.1,Great Blue Heron,Ardea herodias,Hinchinbrooke,Québec,Canada,45.04194444,-74.10305556,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-10-03,,,,,,,,
CWHC.136763.1,Rock Pigeon,Columba livia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-19,,,,,,,,
CWHC.136648.1,Lesser Scaup,Aythya affinis,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.136439.1,Ring-Billed Gull,Larus delawarensis,St. Albert,Alberta,Canada,53.6305,-113.6256,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.135660.1,Great Horned Owl,Bubo virginianus,Kenaston,Saskatchewan,Canada,51.5006133,-106.2706236,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-18,,,,,,,,
CWHC.136356.1,American White Pelican,Pelecanus erythrorhynchos,Martensville,Saskatchewan,Canada,52.2603525,-106.6706617,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-11-09,,,,,,,,
CWHC.136453.1,American Crow,Corvus brachyrhynchos,Leduc,Alberta,Canada,53.258,-113.5502,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.138155.1,American Crow,Corvus brachyrhynchos,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.136471.1,Northern goshawk,Accipiter gentilis,Spruce Grove,Alberta,Canada,53.5428,-113.9034,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-19,,,,,,,,
CWHC.136426.1,American Robin,Turdus migratorius,Stony Plain,Alberta,Canada,53.5279,-114.0019,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.136140.2,Canada Goose,Branta canadensis,Cambridge Bay,Nunavut,Canada,69.0636,-105.2424,,,,,,,,,,,,
CWHC.136546.1,Rock Pigeon,Columba livia,Summerside,Prince Edward Island,Canada,46.39167,-63.79094,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2017-10-31,,,,,,,,
CWHC.136195.1,Canada Goose,Branta canadensis,Sherwood Park,Alberta,Canada,53.5412,-113.2957,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CCWHC.000042375,American Black Duck,Anas rubripes,,,,47.5007833,-52.79,Negative ,Cloacal Sample ,Animal Health Lab - University of Guelph ,2008-11-10,,,,,,,,
CWHC.138801.1,Snow Goose,Chen caerulescens,Notre-Dame-du-Bon-Conseil,Québec,Canada,45.98777778,-72.30583333,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2018-01-23,,,,,,,,
CWHC.136445.1,Black-billed Magpie,Pica hudsonia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.136641.1,Rock Pigeon,Columba livia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CCWHC.000042376,Mallard,Anas platyrhynchos,,,,47.5007833,-52.79,Negative ,Cloacal Sample ,Animal Health Lab - University of Guelph ,2008-11-10,,,,,,,,
CWHC.135759.1,Pileated Woodpecker,Dryocopus pileatus,Oakfield,Nova Scotia,Canada,44.89656,-63.58184,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-10,,,,,,,,
CWHC.136726.1,Herring Gull,Larus argentatus,Oyster Bed Bridge,Prince Edward Island,Canada,46.3883965,-63.2369849,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2017-10-31,,,,,,,,
CWHC.136435.1,Rock Pigeon,Columba livia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.136765.1,Rock Pigeon,Columba livia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-19,,,,,,,,
CWHC.136296.5,Mallard,Anas platyrhynchos,Peterborough,Ontario,Canada,44.331715,-78.331127,,,,,,,,,,,,
CWHC.136269.1,Canada Goose,Branta canadensis,Toronto,Ontario,Canada,43.73989,-79.421563,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-08-31,,,,,,,,
CWHC.136646.1,California Gull,Larus californicus,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.136275.1,Great Horned Owl,Bubo virginianus,Brooks,Alberta,Canada,50.566,-111.8992,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-19,,,,,,,,
CWHC.138175.1,Rock Pigeon,Columba livia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.135644.1,California Gull,Larus californicus,Saskatoon,Saskatchewan,Canada,52.2021042,-106.6785858,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-18,,,,,,,,
CWHC.136010.3,Blue Jay,Cyanocitta cristata,Metcalfe,Ontario,Canada,45.2107469,-75.432286,2018-01-08,,,,,,,,,,,
CWHC.137680.2,Canada Goose,Branta canadensis,Ottawa,Ontario,Canada,45.393302,-75.701534,Negative ,Combination Sample ,CWHC Ontario/Nunavut ,2017-11-23,,,,,,,,
CWHC.136178.1,Black-billed Magpie,Pica hudsonia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.135716.1,Pine Siskin,Carduelis pinus,Sainte-Brigitte-de-Laval,Québec,Canada,47.002378,-71.1942119,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-08-10,,,,,,,,
CWHC.135698.1,Double-Crested Cormorant,Phalacrocorax auritus,Kingston,Ontario,Canada,44.269847,-76.570382,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-08-09,,,,,,,,
CWHC.136409.1,Swainson's Hawk,Buteo swainsoni,Calgary,Alberta,Canada,51.0094,-114.1641,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-13,,,,,,,,
CWHC.136915.1,Broad-Winged Hawk,Buteo platypterus,Bocabec,New Brunswick,Canada,45.17066,-67.0012405,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-11,,,,,,,,
CWHC.136626.1,American Crow,Corvus brachyrhynchos,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.136476.1,Canada Goose,Branta canadensis,Victoriaville,Québec,Canada,46.07972222,-71.92611111,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-10-05,,,,,,,,
CWHC.138142.1,Least Flycatcher,Empidonax minimus,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.136187.1,Ring-Billed Gull,Larus delawarensis,Edmonton,Alberta,Canada,53.5444,-113.4909,Positive ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,Negative,,,2017-09-12,Negative,,,2017-09-12
CWHC.138165.1,Mallard,Anas platyrhynchos,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.135943.1,Blue Jay,Cyanocitta cristata,Saskatoon,Saskatchewan,Canada,52.1094892,-106.6367511,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-31,,,,,,,,
CWHC.137456.1,White-Rumped Sandpiper,Calidris fuscicollis,Encana Offshore Platform,Nova Scotia,Canada,43.81269,-60.68837,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-11,,,,,,,,
CWHC.136180.1,Black-billed Magpie,Pica hudsonia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.136448.1,Black-billed Magpie,Pica hudsonia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.138146.1,White-Winged Crossbill,Loxia leucoptera,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.136066.1,Blue-Winged Teal,Anas discors,,Saskatchewan,Canada,51.701373,-106.51696,Positive ,Combination Sample ,Prairie Diagnostic Services ,2017-09-07,Negative,,Prairie Diagnostic Services,2017-09-07,Negative,,Prairie Diagnostic Services,2017-09-07
CWHC.136086.1,Mallard,Anas platyrhynchos,,Saskatchewan,Canada,51.701373,-106.51696,Suspicious ,Combination Sample ,Prairie Diagnostic Services ,2017-09-07,Negative,,Prairie Diagnostic Services,2017-09-07,Negative,,Prairie Diagnostic Services,2017-09-07
CWHC.136165.1,Pine Siskin,Carduelis pinus,Stony Plain,Alberta,Canada,53.5279,-114.0019,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.136296.8,Mallard,Anas platyrhynchos,Peterborough,Ontario,Canada,44.331715,-78.331127,,,,,,,,,,,,
CWHC.136334.1,Ring-Billed Gull,Larus delawarensis,Saskatoon,Saskatchewan,Canada,52.0870713,-106.6499746,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-11-09,,,,,,,,
CWHC.136028.1,Double-Crested Cormorant,Phalacrocorax auritus,Prince Edward,Ontario,Canada,44.03209,-77.57061,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-08-30,,,,,,,,
CWHC.136164.1,House Sparrow,Passer domesticus,Edmonton,Alberta,Canada,53.5225,-113.6242,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.136100.1,Ring-Billed Gull,Larus delawarensis,Lanoraie,Québec,Canada,45.96291944,-73.216625,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-09-08,,,,,,,,
CWHC.138577.2,Canada Goose,Branta canadensis,Ottawa,Ontario,Canada,45.393302,-75.701534,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2018-01-16,,,,,,,,
CWHC.138181.1,Great Horned Owl,Bubo virginianus,Sherwood Park,Alberta,Canada,53.5412,-113.2957,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.135903.1,Ring-Billed Gull,Larus delawarensis,Charlottetown,Prince Edward Island,Canada,46.2726,-63.14798,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2017-09-28,,,,,,,,
CWHC.137727.1,Snow Goose,Chen caerulescens,Saint-Rémi,Québec,Canada,45.2575,-73.61444444,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-12-08,,,,,,,,
CWHC.138481.1,Great Horned Owl,Bubo virginianus,Seaforth,Nova Scotia,Canada,44.66454,-63.26289,Pending ,Combination Sample ,AVC - Diagnostic Virology Laboratory,,,,,,,,,
CWHC.136174.1,Rock Pigeon,Columba livia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.136074.1,Blue-Winged Teal,Anas discors,,Saskatchewan,Canada,51.701373,-106.51696,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-10-11,Negative,,Prairie Diagnostic Services,2017-09-07,Negative,,Prairie Diagnostic Services,2017-09-07
CWHC.136633.1,Black-billed Magpie,Pica hudsonia,Spruce Grove,Alberta,Canada,53.5428,-113.9034,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.136632.1,Black-billed Magpie,Pica hudsonia,Spruce Grove,Alberta,Canada,53.5428,-113.9034,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.136004.6,Herring Gull,Larus argentatus,Lac-Etchemin,Québec,Canada,46.39555556,-70.50833333,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-08-30,,,,,,,,
CWHC.138581.2,Mallard,Anas platyrhynchos,Bellevue,Alberta,Canada,49.5829,-114.3643,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2018-01-17,,,,,,,,
CWHC.136169.1,Blue Jay,Cyanocitta cristata,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.138364.1,Rock Pigeon,Columba livia,Charlottetown,Prince Edward Island,Canada,0,0,Pending ,Combination Sample ,AVC - Diagnostic Virology Laboratory,,,,,,,,,
CWHC.137642.1,Canada Goose,Branta canadensis,Farnham,Québec,Canada,45.28305556,-72.97472222,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-12-05,,,,,,,,
CWHC.136658.1,Swainson's Hawk,Buteo swainsoni,,Alberta,Canada,53.5487,-113.7626,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CCWHC.000042377,Mallard,Anas platyrhynchos,,,,47.5007833,-52.79,Negative ,Cloacal Sample ,Animal Health Lab - University of Guelph ,2008-11-10,,,,,,,,
CWHC.135941.1,American Crow,Corvus brachyrhynchos,Midhurst,Ontario,Canada,44.4467,-79.7288,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-08-23,,,,,,,,
CWHC.135774.2,Double-Crested Cormorant,Phalacrocorax auritus,Sauble Beach,Ontario,Canada,44.618752,-81.267132,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-08-16,,,,,,,,
CWHC.135651.1,Merlin,Falco columbarius,Kamsack,Saskatchewan,Canada,51.5648837,-101.8984151,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-18,,,,,,,,
CWHC.136046.1,Red-Tailed Hawk,Buteo jamaicensis,Toronto,Ontario,Canada,43.7140257,-79.4546234,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-08-22,,,,,,,,
CWHC.135639.1,Red-Tailed Hawk,Buteo jamaicensis,Zelma,Saskatchewan,Canada,51.842308,-105.9119361,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-18,,,,,,,,
CWHC.138909.1,Trumpeter Swan,Cygnus buccinator,Stayner,Ontario,Canada,44.4321,-80.0867,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2018-01-31,,,,,,,,
CWHC.136745.1,American Black Duck,Anas rubripes,Upper Sackville,New Brunswick,Canada,45.97198,-64.334095,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-11,,,,,,,,
CWHC.136268.1,Barred Owl,Strix varia,Fernwood,Prince Edward Island,Canada,46.3282809,-63.783561,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2017-09-28,,,,,,,,
CWHC.135947.1,Merlin,Falco columbarius,Saskatoon,Saskatchewan,Canada,52.1332144,-106.6700458,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-31,,,,,,,,
CWHC.136412.1,Mallard,Anas platyrhynchos,Hudson,Québec,Canada,45.468429,-74.160436,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-10-03,,,,,,,,
CWHC.136643.1,Rock Pigeon,Columba livia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
