"FID_","FID_triang","SP_ID","x","length","Y","N","JT"
,496,"497",497,145.703173,0,1,"WW"
,498,"499",499,167.836610,0,1,"WW"
,549,"550",550,85.697146,0,1,"WW"
,503,"504",504,215.611966,0,1,"WW"
,503,"504",504,225.276417,0,1,"WW"
,505,"506",506,178.296750,0,1,"WW"
,550,"551",551,17.004615,0,1,"WW"
,550,"551",551,100.551174,0,1,"WW"
,551,"552",552,171.087073,0,1,"WW"
,499,"500",500,120.524096,0,1,"WW"
,499,"500",500,104.897910,0,1,"WW"
,549,"550",550,48.332276,0,1,"WW"
,552,"553",553,57.066994,0,1,"WW"
,494,"495",495,102.116922,0,1,"WW"
,500,"501",501,35.354832,0,1,"WW"
,552,"553",553,87.954089,0,1,"WW"
,493,"494",494,90.613769,0,1,"WW"
,494,"495",495,42.352541,0,1,"WW"
,495,"496",496,249.854070,0,1,"WW"
,493,"494",494,87.204170,0,1,"WW"
,493,"494",494,48.227126,0,1,"WW"
,557,"558",558,163.913575,0,1,"WW"
,515,"516",516,72.893132,0,1,"WW"
,514,"515",515,78.633795,0,1,"WW"
,508,"509",509,102.160012,0,1,"WW"
,507,"508",508,88.068252,0,1,"WW"
,508,"509",509,175.654511,0,1,"WW"
,511,"512",512,284.980288,0,1,"WW"
,510,"511",511,428.170861,0,1,"WW"
,517,"518",518,50.909960,0,1,"WW"
,517,"518",518,48.549480,0,1,"WW"
,518,"519",519,83.387537,0,1,"WW"
,514,"515",515,56.029764,0,1,"WW"
,514,"515",515,71.972796,0,1,"WW"
,555,"556",556,46.582136,0,1,"WW"
,554,"555",555,122.976938,0,1,"WW"
,520,"521",521,312.884165,0,1,"WW"
,519,"520",520,84.797777,0,1,"WW"
,519,"520",520,62.284404,0,1,"WW"
,585,"586",586,42.613218,0,1,"WW"
,586,"587",587,31.309929,0,1,"WW"
,565,"566",566,25.088379,0,1,"WW"
,587,"588",588,36.414802,0,1,"WW"
,566,"567",567,18.949134,0,1,"WW"
,516,"517",517,73.769983,0,1,"WW"
,507,"508",508,119.078222,0,1,"WW"
,507,"508",508,160.932792,0,1,"WW"
,510,"511",511,119.403580,1,1,"BW"
,510,"511",511,543.456688,1,1,"BW"
,575,"576",576,633.366512,1,1,"BW"
,580,"581",581,844.280298,1,1,"BW"
,566,"567",567,158.353774,0,1,"WW"
,565,"566",566,154.162774,0,1,"WW"
,554,"555",555,149.096105,0,1,"WW"
,553,"554",554,212.529108,0,1,"WW"
,553,"554",554,214.074032,0,1,"WW"
,557,"558",558,204.450650,0,1,"WW"
,559,"560",560,183.239072,0,1,"WW"
,509,"510",510,130.412036,0,1,"WW"
,509,"510",510,130.955877,0,1,"WW"
,512,"513",513,49.470641,1,1,"BW"
,563,"564",564,61.880094,0,1,"WW"
,560,"561",561,170.210599,0,1,"WW"
,560,"561",561,137.325317,0,1,"WW"
,561,"562",562,88.308561,0,1,"WW"
,561,"562",562,123.571136,0,1,"WW"
,562,"563",563,191.997293,0,1,"WW"
,579,"580",580,113.709922,0,1,"WW"
,579,"580",580,121.674307,1,1,"BW"
,570,"571",571,196.236775,0,1,"WW"
,570,"571",571,120.674933,0,1,"WW"
,584,"585",585,37.021255,0,1,"WW"
,636,"637",637,27.605215,0,1,"WW"
,636,"637",637,34.965874,0,1,"WW"
,589,"590",590,460.050666,0,1,"WW"
,588,"589",589,271.840802,0,1,"WW"
,567,"568",568,260.331283,0,1,"WW"
,564,"565",565,369.832443,0,1,"WW"
,564,"565",565,403.941189,0,1,"WW"
,591,"592",592,495.950865,0,1,"WW"
,590,"591",591,129.846529,0,1,"WW"
,639,"640",640,58.999220,1,1,"BW"
,582,"583",583,78.357249,1,1,"BW"
,582,"583",583,195.287773,1,0,"BB"
,637,"638",638,73.770088,0,1,"WW"
,638,"639",639,61.289380,0,1,"WW"
,645,"646",646,71.012868,1,1,"BW"
,571,"572",572,224.079634,0,1,"WW"
,571,"572",572,75.673494,0,1,"WW"
,637,"638",638,2.655626,0,1,"WW"
,572,"573",573,274.017557,0,1,"WW"
,572,"573",573,104.996433,0,1,"WW"
,640,"641",641,8.292997,0,1,"WW"
,640,"641",641,106.991834,0,1,"WW"
,642,"643",643,57.500543,0,1,"WW"
,642,"643",643,118.256469,0,1,"WW"
,645,"646",646,119.482134,0,1,"WW"
,645,"646",646,138.501740,1,1,"BW"
,643,"644",644,173.164643,0,1,"WW"
,643,"644",644,132.134775,0,1,"WW"
,646,"647",647,251.040742,1,1,"BW"
,649,"650",650,87.375698,0,1,"WW"
,583,"584",584,312.508504,1,1,"BW"
,581,"582",582,506.169961,1,1,"BW"
,581,"582",582,1335.841722,0,1,"WW"
,663,"664",664,88.416816,1,1,"BW"
,662,"663",663,22.442719,1,1,"BW"
,590,"591",591,356.228506,0,1,"WW"
,590,"591",591,391.225523,0,1,"WW"
,666,"667",667,108.136164,0,1,"WW"
,662,"663",663,42.097028,1,1,"BW"
,662,"663",663,64.446981,0,1,"WW"
,595,"596",596,327.463069,0,1,"WW"
,569,"570",570,462.208299,0,1,"WW"
,568,"569",569,527.811494,0,1,"WW"
,568,"569",569,505.213307,0,1,"WW"
,574,"575",575,173.664592,0,1,"WW"
,573,"574",574,474.166563,0,1,"WW"
,573,"574",574,325.603924,0,1,"WW"
,641,"642",642,327.523773,0,1,"WW"
,644,"645",645,360.808475,0,1,"WW"
,650,"651",651,359.012616,1,1,"BW"
,650,"651",651,145.190151,1,1,"BW"
,664,"665",665,49.436687,1,1,"BW"
,657,"658",658,113.801458,1,1,"BW"
,653,"654",654,72.588330,0,1,"WW"
,652,"653",653,112.160522,0,1,"WW"
,652,"653",653,31.242680,0,1,"WW"
,652,"653",653,97.894651,0,1,"WW"
,667,"668",668,157.080487,0,1,"WW"
,668,"669",669,196.589334,0,1,"WW"
,671,"672",672,133.357309,0,1,"WW"
,672,"673",673,132.039058,0,1,"WW"
,675,"676",676,150.228109,0,1,"WW"
,675,"676",676,104.137174,0,1,"WW"
,674,"675",675,112.745988,0,1,"WW"
,674,"675",675,100.860795,0,1,"WW"
,671,"672",672,142.041903,0,1,"WW"
,671,"672",672,46.250445,0,1,"WW"
,682,"683",683,118.118993,0,1,"WW"
,677,"678",678,187.193171,0,1,"WW"
,654,"655",655,179.795326,0,1,"WW"
,654,"655",655,169.852048,0,1,"WW"
,683,"684",684,23.889561,0,1,"WW"
,683,"684",684,122.683539,0,1,"WW"
,655,"656",656,121.196021,0,1,"WW"
,651,"652",652,246.491936,0,1,"WW"
,651,"652",652,255.972219,1,1,"BW"
,667,"668",668,300.364640,0,1,"WW"
,667,"668",668,166.143983,0,1,"WW"
,673,"674",674,75.943514,0,1,"WW"
,687,"688",688,59.342671,0,1,"WW"
,679,"680",680,192.360651,1,1,"BW"
,678,"679",679,75.770952,1,1,"BW"
,659,"660",660,152.394211,1,1,"BW"
,656,"657",657,120.984112,0,1,"WW"
,657,"658",658,239.800437,1,1,"BW"
,456,"457",457,352.958785,0,1,"WW"
,688,"689",689,161.275308,0,1,"WW"
,684,"685",685,144.814439,0,1,"WW"
,684,"685",685,145.463068,0,1,"WW"
,680,"681",681,157.977928,0,1,"WW"
,680,"681",681,137.295709,1,1,"BW"
,686,"687",687,52.692581,0,1,"WW"
,685,"686",686,157.616652,0,1,"WW"
,685,"686",686,1.875404,0,1,"WW"
,659,"660",660,157.285991,1,1,"BW"
,656,"657",657,127.309377,0,1,"WW"
,405,"406",406,132.303909,0,1,"WW"
,691,"692",692,52.448869,0,1,"WW"
,681,"682",682,51.887642,0,1,"WW"
,660,"661",661,150.152339,1,1,"BW"
,660,"661",661,252.826554,0,1,"WW"
,697,"698",698,96.788138,0,1,"WW"
,698,"699",699,80.900076,0,1,"WW"
,694,"695",695,44.281212,0,1,"WW"
,689,"690",690,220.102632,0,1,"WW"
,689,"690",690,125.849244,0,1,"WW"
,696,"697",697,79.286855,0,1,"WW"
,693,"694",694,47.859533,0,1,"WW"
,661,"662",662,72.731442,0,1,"WW"
,406,"407",407,279.192317,0,1,"WW"
,695,"696",696,68.238439,0,1,"WW"
,693,"694",694,46.708742,0,1,"WW"
,692,"693",693,29.680243,0,1,"WW"
,408,"409",409,72.227423,0,1,"WW"
,692,"693",693,46.199176,0,1,"WW"
,407,"408",408,67.906876,0,1,"WW"
,408,"409",409,597.422991,0,1,"WW"
,407,"408",408,540.856493,0,1,"WW"
,406,"407",407,589.868713,0,1,"WW"
,403,"404",404,760.439336,0,1,"WW"
,401,"402",402,269.620000,0,1,"WW"
,403,"404",404,976.863818,0,1,"WW"
,404,"405",405,1079.067065,0,1,"WW"
,4,"5",5,274.954797,0,1,"WW"
,401,"402",402,5.530014,0,1,"WW"
,4,"5",5,1088.134566,0,1,"WW"
,4,"5",5,1035.295474,0,1,"WW"
,395,"396",396,426.293537,1,1,"BW"
,5,"6",6,555.993843,0,1,"WW"
,5,"6",6,728.995310,0,1,"WW"
,396,"397",397,469.035921,1,1,"BW"
,422,"423",423,38.755491,0,1,"WW"
,421,"422",422,47.803416,0,1,"WW"
,400,"401",401,64.123971,0,1,"WW"
,398,"399",399,435.900140,1,1,"BW"
,395,"396",396,611.348813,1,0,"BB"
,395,"396",396,860.188361,1,1,"BW"
,402,"403",403,864.497103,1,1,"BW"
,404,"405",405,1690.242011,1,1,"BW"
,398,"399",399,171.859127,1,1,"BW"
,397,"398",398,407.601663,1,0,"BB"
,3,"4",4,601.824644,0,1,"WW"
,7,"8",8,239.134824,0,1,"WW"
,421,"422",422,205.467816,0,1,"WW"
,412,"413",413,231.286895,0,1,"WW"
,410,"411",411,273.660177,1,1,"BW"
,108,"109",109,270.372331,0,1,"WW"
,410,"411",411,60.858940,1,1,"BW"
,411,"412",412,232.717906,0,1,"WW"
,397,"398",398,251.404169,1,1,"BW"
,397,"398",398,395.755915,1,1,"BW"
,399,"400",400,628.474133,1,1,"BW"
,109,"110",110,276.366641,0,1,"WW"
,413,"414",414,65.898529,0,1,"WW"
,419,"420",420,617.222327,1,1,"BW"
,2,"3",3,747.282232,0,1,"WW"
,3,"4",4,382.514512,0,1,"WW"
,108,"109",109,591.868267,0,1,"WW"
,59,"60",60,801.529829,0,1,"WW"
,106,"107",107,93.726052,0,1,"WW"
,0,"1",1,954.644670,0,1,"WW"
,0,"1",1,461.677729,0,1,"WW"
,0,"1",1,831.930658,0,1,"WW"
,2,"3",3,218.017844,0,1,"WW"
,105,"106",106,131.587182,0,1,"WW"
,104,"105",105,98.087907,0,1,"WW"
,105,"106",106,82.311640,0,1,"WW"
,62,"63",63,173.777821,0,1,"WW"
,12,"13",13,433.552345,0,1,"WW"
,13,"14",14,71.747882,0,1,"WW"
,61,"62",62,127.268957,0,1,"WW"
,60,"61",61,809.423135,0,1,"WW"
,418,"419",419,641.530646,1,1,"BW"
,414,"415",415,1187.639863,1,1,"BW"
,416,"417",417,2613.887017,0,1,"WW"
,453,"454",454,2854.726098,0,1,"WW"
,414,"415",415,1163.038101,1,1,"BW"
,414,"415",415,31.268566,0,1,"WW"
,454,"455",455,57.035107,0,1,"WW"
,452,"453",453,31.241759,0,1,"WW"
,415,"416",416,830.305514,1,1,"BW"
,415,"416",416,535.242537,0,1,"WW"
,449,"450",450,587.098547,0,1,"WW"
,53,"54",54,299.602321,0,1,"WW"
,417,"418",418,820.391038,1,1,"BW"
,52,"53",53,20.187251,0,1,"WW"
,448,"449",449,161.522575,0,1,"WW"
,452,"453",453,188.437487,0,1,"WW"
,451,"452",452,2972.995375,0,1,"WW"
,10,"11",11,280.997938,0,1,"WW"
,10,"11",11,5.792658,0,1,"WW"
,10,"11",11,285.096935,0,1,"WW"
,12,"13",13,342.360158,0,1,"WW"
